reactants,products,id,family,type,depth,status,verdict,decided
e + Ar,e + Ar,e_Ar_elastic,electron,elastic,0,curated,unknown,no
e + Ar,e + Ar_4s,e_Ar_excitation_4s_lumped,electron,excitation,0,curated,unknown,no
e + Ar,e + Ar+,e_Ar_ionization,electron,ionization,0,curated,unknown,no
e + Ar_4s,e + Ar,e_Ar4s_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + Ar_4s,e + Ar_4s,e_Ar4s_elastic,electron,elastic,1,literature_supported,unknown,no
e + Ar_4s,e + Ar+,e_Ar4s_stepwise_ionization,electron,ionization,1,literature_supported,unknown,no
e + O,e + O,e_O_elastic,electron,elastic,1,literature_supported,unknown,no
e + O,e + O_1D,e_O_excitation_O_1D,electron,excitation,1,curated,unknown,no
e + O,e + O_1S,e_O_excitation_O_1S,electron,excitation,1,literature_supported,unknown,no
e + O,e + O+,e_O_ionization,electron,ionization,1,curated,unknown,no
e + O2,e + O + O_1S,cand_O2_diss_O_1S,electron,dissociation,0,candidate,unknown,no
e + O2,e + O,e_O2_dissociation_O_O,electron,dissociation,0,literature_supported,unknown,no
e + O2,e + O + O_1D,e_O2_dissociation_O_O1D,electron,dissociation,0,literature_supported,unknown,no
e + O2,e + e + O+ + O,cand_e_O2_to_e_e_Op_O,electron,dissociative_ionization,0,candidate,unknown,no
e + O2,e + O2,e_O2_elastic,electron,elastic,0,curated,unknown,no
e + O2,e + O2_v,cand_e_O2_to_e_O2_v,electron,excitation,0,candidate,unknown,no
e + O2,e + O2_a1Delta,e_O2_excitation_O2_a1Delta,electron,excitation,0,curated,unknown,no
e + O2,e + O2_b1Sigma,e_O2_excitation_O2_b1Sigma,electron,excitation,0,curated,unknown,no
e + O2,e + O2+,e_O2_ionization,electron,ionization,0,curated,unknown,no
e + O2_a1Delta,e + O2,e_O2_a1Delta_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + O2_a1Delta,e + O + O,cand_e_O2_a1Delta_to_e_O_O,electron,dissociation,1,candidate,unknown,no
e + O2_a1Delta,e + e + O+ + O,cand_e_O2_a1Delta_to_e_e_Op_O,electron,dissociative_ionization,1,candidate,unknown,no
e + O2_a1Delta,e + O2_a1Delta,e_O2_a1Delta_elastic,electron,elastic,1,literature_supported,unknown,no
e + O2_a1Delta,e + O2+,e_O2_a1Delta_ionization,electron,ionization,1,literature_supported,unknown,no
e + O2_b1Sigma,e + O2,e_O2_b1Sigma_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + O2_b1Sigma,e + O + O,cand_e_O2_b1Sigma_to_e_O_O,electron,dissociation,1,candidate,unknown,no
e + O2_b1Sigma,e + e + O+ + O,cand_e_O2_b1Sigma_to_e_e_Op_O,electron,dissociative_ionization,1,candidate,unknown,no
e + O2_b1Sigma,e + O2_b1Sigma,e_O2_b1Sigma_elastic,electron,elastic,1,literature_supported,unknown,no
e + O2_b1Sigma,e + O2+,e_O2_b1Sigma_ionization,electron,ionization,1,literature_supported,unknown,no
e + O2_v,e + O2,cand_e_O2_v_to_e_O2,electron,deexcitation,0,candidate,unknown,no
e + O2_v,e + O + O,cand_e_O2_v_to_e_O_O,electron,dissociation,1,candidate,unknown,no
e + O2_v,e + e + O+ + O,cand_e_O2_v_to_e_e_Op_O,electron,dissociative_ionization,1,candidate,unknown,no
e + O2_v,e + O2_v,cand_e_O2_v_to_e_O2_v,electron,elastic,1,candidate,unknown,no
e + O2_v,e + e + O2+,cand_e_O2_v_to_e_e_O2p,electron,ionization,1,candidate,unknown,no
e + O_1D,e + O,e_O_1D_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + O_1D,e + O_1D,e_O_1D_elastic,electron,elastic,1,literature_supported,unknown,no
e + O_1D,e + O+,e_O_1D_ionization,electron,ionization,1,literature_supported,unknown,no
e + O_1S,e + O,e_O_1S_superelastic,electron,deexcitation,1,literature_supported,unknown,no
e + O_1S,e + O_1S,e_O_1S_elastic,electron,elastic,1,literature_supported,unknown,no
e + O_1S,e + e + O+,cand_e_O_1S_to_e_e_Op,electron,ionization,1,candidate,unknown,no
