candidate,reaction_type,verdict,reason,id
e + CF4 -> CF3- + F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6add53007d4d
e + CF4 -> F- + CF3,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d5cbaabe8754
e + F2 -> F- + F,Electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_41a18c13fd0a
e + Ar(4s) -> Ar + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_085bec441ad0
e + C(¹D) -> C + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_9530f504d9e5
e + C(¹S) -> C + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_7d224670cb65
e + C2F3 -> CF2 + CF + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_e9a3bc3ff825
e + C2F4 -> 2 CF2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_2401799501e7
e + CF2 -> C + 2 F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_aa74617768be
e + CF4 -> CF2 + 2 F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_1e49bb9b8128
e + C2F4 -> C2F3+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_2b4bc884f137
e + CF4 -> CF2+ + 2 F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_3d2bff0614a8
e + CF4 -> F+ + CF3 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_10b57a76ce1d
e + Ar(4s) -> Ar(4s) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_49cd032be260
e + C(¹D) -> C(¹D) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_729e864828ae
e + C(¹S) -> C(¹S) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_93d0a1400049
e + Ar -> Ar(4s) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_683f67de893f
e + C -> C(¹D) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_05ea310bde2f
e + C -> C(¹S) + e,Electron-impact excitation,pass,reaction is stoichiometrically and electrically consistent,rxn_e9c8f0aba272
e + Ar(4s) -> Ar+ + 2 e,Electron-impact ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_1a8a97d93128
F- + F2 -> F + F2 + e,Collisional electron detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_dfc63c7a8750
2 CF2 -> C2F4,Bimolecular association,pass,reaction is stoichiometrically and electrically consistent,rxn_abc5c865f438
CF + F -> CF2,Bimolecular association,pass,reaction is stoichiometrically and electrically consistent,rxn_d1e2eaf8406e
CF2 + CF -> C2F3,Bimolecular association,pass,reaction is stoichiometrically and electrically consistent,rxn_6e55ee5b6e15
CF2 + F -> CF3,Bimolecular association,pass,reaction is stoichiometrically and electrically consistent,rxn_82ec7771ab72
CF3 + F -> CF4,Bimolecular association,pass,reaction is stoichiometrically and electrically consistent,rxn_060cde25fd8a
