id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,58,yes,
Ar+,1,1,curated,49,yes,
Ar_4s,0,1,literature_supported,37,yes,
C,0,2,literature_supported,44,yes,
C+,1,2,candidate,56,yes,
CF,0,2,literature_supported,64,yes,
CF*,0,3,candidate,24,yes,
CF+,1,2,candidate,9,yes,
CF2,0,1,estimated,84,yes,
CF2*,0,2,candidate,28,yes,
CF2+,1,1,estimated,77,yes,
CF2_v,0,2,candidate,47,yes,
CF3,0,1,estimated,81,yes,
CF3*,0,2,candidate,32,yes,
CF3+,1,1,estimated,89,yes,
CF3_v,0,2,candidate,51,yes,
CF4,0,0,estimated,78,yes,
CF4*,0,1,candidate,29,yes,
CF4+,1,2,estimated,77,yes,
CF4_v,0,1,candidate,48,yes,
CF_v,0,3,candidate,43,yes,
C_1D,0,2,literature_supported,26,yes,
C_1S,0,2,literature_supported,29,yes,
F,0,1,curated,219,yes,
F*,0,2,candidate,18,yes,
F+,1,1,curated,50,yes,
F2,0,1,literature_supported,110,yes,
F2*,0,2,candidate,28,yes,
F2+,1,2,literature_supported,60,yes,
F2_v,0,2,candidate,47,yes,
