id,charge,depth,status,reactions,ready,missing
Ar,0,0,curated,126,yes,
Ar+,1,1,curated,94,yes,
Ar_4s,0,1,literature_supported,72,yes,
F,0,1,curated,494,yes,
F*,0,2,candidate,41,no,mass_amu
F+,1,1,curated,109,yes,
F2,0,1,literature_supported,376,yes,
F2*,0,2,candidate,56,no,mass_amu
F2+,1,2,literature_supported,120,yes,
F2_v,0,2,candidate,113,no,mass_amu
FO,0,2,literature_supported,124,yes,
FO*,0,3,candidate,45,no,mass_amu
FO_v,0,3,candidate,101,no,mass_amu
O,0,1,curated,181,yes,
O+,1,1,curated,113,yes,
O2,0,0,curated,203,yes,
O2+,1,1,curated,106,yes,
O2_a1Delta,0,1,curated,59,yes,
O2_b1Sigma,0,1,curated,62,yes,
O2_v,0,1,candidate,112,no,mass_amu
OF+,1,3,candidate,6,no,mass_amu
O_1D,0,1,curated,75,yes,
O_1S,0,1,literature_supported,64,yes,
S,0,2,literature_supported,125,yes,
S+,1,1,literature_supported,122,yes,
SF,0,1,literature_supported,158,yes,
SF*,0,2,candidate,54,no,mass_amu
SF+,1,1,literature_supported,78,yes,
SF2,0,1,literature_supported,190,yes,
SF2*,0,2,candidate,60,no,mass_amu
SF2+,1,1,literature_supported,122,yes,
SF2_v,0,2,candidate,116,no,mass_amu
SF3,0,1,literature_supported,149,yes,
SF3*,0,2,candidate,60,no,mass_amu
SF3+,1,1,literature_supported,76,yes,
SF3_v,0,2,candidate,116,no,mass_amu
SF4,0,1,curated,196,yes,
SF4*,0,2,candidate,59,no,mass_amu
SF4+,1,1,literature_supported,183,yes,
SF4_v,0,2,candidate,115,no,mass_amu
SF5,0,1,curated,184,yes,
SF5*,0,2,candidate,62,no,mass_amu
SF5+,1,1,literature_supported,165,yes,
SF5_v,0,2,candidate,118,no,mass_amu
SF6,0,0,curated,196,yes,
SF6*,0,1,candidate,58,no,mass_amu
SF6+,1,1,candidate,248,no,mass_amu
SF6_v,0,1,candidate,114,no,mass_amu
SF_v,0,2,candidate,110,no,mass_amu
SO,0,2,literature_supported,132,yes,
SO*,0,3,candidate,46,no,mass_amu
SO+,1,3,candidate,9,no,mass_amu
SO2,0,3,literature_supported,131,yes,
SO2*,0,4,candidate,50,no,mass_amu
SO2+,1,4,candidate,3,no,mass_amu
SO2F2,0,3,literature_supported,134,yes,
SO2F2*,0,4,candidate,54,no,mass_amu
SO2F2+,1,4,candidate,3,no,mass_amu
SO2F2_v,0,4,candidate,110,no,mass_amu
SO2_v,0,4,candidate,106,no,mass_amu
SOF,0,2,literature_supported,119,yes,
SOF*,0,3,candidate,41,no,mass_amu
SOF+,1,3,candidate,9,no,mass_amu
SOF2,0,2,literature_supported,132,yes,
SOF2*,0,3,candidate,43,no,mass_amu
SOF2+,1,3,candidate,12,no,mass_amu
SOF2_v,0,3,candidate,99,no,mass_amu
SOF3,0,2,literature_supported,117,yes,
SOF3*,0,3,candidate,43,no,mass_amu
SOF3+,1,3,candidate,6,no,mass_amu
SOF3_v,0,3,candidate,99,no,mass_amu
SOF4,0,2,literature_supported,114,yes,
SOF4*,0,3,candidate,43,no,mass_amu
SOF4+,1,3,candidate,3,no,mass_amu
SOF4_v,0,3,candidate,99,no,mass_amu
SOF_v,0,3,candidate,97,no,mass_amu
SO_v,0,3,candidate,103,no,mass_amu
S_1D,0,2,literature_supported,57,yes,
S_1S,0,2,literature_supported,62,yes,
